,dates,weekday,end_of_week,end_of_month
273,2013-07-01,0,False,False
274,2013-07-02,1,False,False
275,2013-07-03,2,False,False
276,2013-07-05,4,True,False
277,2013-07-08,0,False,False
278,2013-07-09,1,False,False
279,2013-07-10,2,False,False
280,2013-07-11,3,False,False
281,2013-07-12,4,True,False
282,2013-07-15,0,False,False
283,2013-07-16,1,False,False
284,2013-07-17,2,False,False
285,2013-07-18,3,False,False
286,2013-07-19,4,True,False
287,2013-07-22,0,False,False
288,2013-07-23,1,False,False
289,2013-07-24,2,False,False
290,2013-07-25,3,False,False
291,2013-07-26,4,True,False
292,2013-07-29,0,False,False
293,2013-07-30,1,False,False
294,2013-07-31,2,False,True
295,2013-08-01,3,False,False
296,2013-08-02,4,True,False
297,2013-08-05,0,False,False
298,2013-08-06,1,False,False
299,2013-08-07,2,False,False
300,2013-08-08,3,False,False
301,2013-08-09,4,True,False
302,2013-08-12,0,False,False
303,2013-08-13,1,False,False
304,2013-08-14,2,False,False
305,2013-08-15,3,False,False
306,2013-08-16,4,True,False
307,2013-08-19,0,False,False
308,2013-08-20,1,False,False
309,2013-08-21,2,False,False
310,2013-08-22,3,False,False
311,2013-08-23,4,True,False
312,2013-08-26,0,False,False
313,2013-08-27,1,False,False
314,2013-08-28,2,False,False
315,2013-08-29,3,False,False
316,2013-08-30,4,True,True
317,2013-09-03,1,False,False
318,2013-09-04,2,False,False
319,2013-09-05,3,False,False
320,2013-09-06,4,True,False
321,2013-09-09,0,False,False
322,2013-09-10,1,False,False
323,2013-09-11,2,False,False
324,2013-09-12,3,False,False
325,2013-09-13,4,True,False
326,2013-09-16,0,False,False
327,2013-09-17,1,False,False
328,2013-09-18,2,False,False
329,2013-09-19,3,False,False
330,2013-09-20,4,True,False
331,2013-09-23,0,False,False
332,2013-09-24,1,False,False
333,2013-09-25,2,False,False
334,2013-09-26,3,False,False
335,2013-09-27,4,True,False
336,2013-09-30,0,False,True
337,2013-10-01,1,False,False
338,2013-10-02,2,False,False
339,2013-10-03,3,False,False
340,2013-10-04,4,True,False
341,2013-10-07,0,False,False
342,2013-10-08,1,False,False
343,2013-10-09,2,False,False
344,2013-10-10,3,False,False
345,2013-10-11,4,True,False
346,2013-10-14,0,False,False
347,2013-10-15,1,False,False
348,2013-10-16,2,False,False
349,2013-10-17,3,False,False
350,2013-10-18,4,True,False
351,2013-10-21,0,False,False
352,2013-10-22,1,False,False
353,2013-10-23,2,False,False
354,2013-10-24,3,False,False
355,2013-10-25,4,True,False
356,2013-10-28,0,False,False
357,2013-10-29,1,False,False
358,2013-10-30,2,False,False
359,2013-10-31,3,False,True
360,2013-11-01,4,True,False
361,2013-11-04,0,False,False
362,2013-11-05,1,False,False
363,2013-11-06,2,False,False
364,2013-11-07,3,False,False
365,2013-11-08,4,True,False
366,2013-11-11,0,False,False
367,2013-11-12,1,False,False
368,2013-11-13,2,False,False
369,2013-11-14,3,False,False
370,2013-11-15,4,True,False
371,2013-11-18,0,False,False
372,2013-11-19,1,False,False
373,2013-11-20,2,False,False
374,2013-11-21,3,False,False
375,2013-11-22,4,True,False
376,2013-11-25,0,False,False
377,2013-11-26,1,False,False
378,2013-11-27,2,False,False
379,2013-11-29,4,True,True
380,2013-12-02,0,False,False
381,2013-12-03,1,False,False
382,2013-12-04,2,False,False
383,2013-12-05,3,False,False
384,2013-12-06,4,True,False
385,2013-12-09,0,False,False
386,2013-12-10,1,False,False
387,2013-12-11,2,False,False
388,2013-12-12,3,False,False
389,2013-12-13,4,True,False
390,2013-12-16,0,False,False
391,2013-12-17,1,False,False
392,2013-12-18,2,False,False
393,2013-12-19,3,False,False
394,2013-12-20,4,True,False
395,2013-12-23,0,False,False
396,2013-12-24,1,False,False
397,2013-12-26,3,False,False
398,2013-12-27,4,True,False
399,2013-12-30,0,False,False
400,2013-12-31,1,False,True
401,2014-01-02,3,False,False
402,2014-01-03,4,True,False
403,2014-01-06,0,False,False
404,2014-01-07,1,False,False
405,2014-01-08,2,False,False
406,2014-01-09,3,False,False
407,2014-01-10,4,True,False
408,2014-01-13,0,False,False
409,2014-01-14,1,False,False
410,2014-01-15,2,False,False
411,2014-01-16,3,False,False
412,2014-01-17,4,True,False
413,2014-01-21,1,False,False
414,2014-01-22,2,False,False
415,2014-01-23,3,False,False
416,2014-01-24,4,True,False
417,2014-01-27,0,False,False
418,2014-01-28,1,False,False
419,2014-01-29,2,False,False
420,2014-01-30,3,False,False
421,2014-01-31,4,True,True
422,2014-02-03,0,False,False
423,2014-02-04,1,False,False
424,2014-02-05,2,False,False
425,2014-02-06,3,False,False
426,2014-02-07,4,True,False
427,2014-02-10,0,False,False
428,2014-02-11,1,False,False
429,2014-02-12,2,False,False
430,2014-02-13,3,False,False
431,2014-02-14,4,True,False
432,2014-02-18,1,False,False
433,2014-02-19,2,False,False
434,2014-02-20,3,False,False
435,2014-02-21,4,True,False
436,2014-02-24,0,False,False
437,2014-02-25,1,False,False
438,2014-02-26,2,False,False
439,2014-02-27,3,False,False
