,SOFR30DAYAVG,SOFR,EFFR,AAA,DBAA,T10YIE,T5YIE,MORTGAGE30US,DGS30,DGS1,BAMLH0A0HYM2EY,SOFRVOL,RECPROUSM156N,SAHMREALTIME,ab_bond_spread,junk_bond_spread,int_spread
2010-08-13,,,0.010000000000000009,0.0,-0.04999999999999982,-0.010000000000000009,-0.010000000000000009,0.0,-0.06999999999999984,0.010000000000000009,0.009999999999999787,,0.16,0.0,1.2400000000000002,3.9399999999999995,3.6100000000000003
2010-08-16,,,0.010000000000000009,0.0,-0.15000000000000036,-0.050000000000000044,-0.050000000000000044,0.0,-0.1499999999999999,-0.010000000000000009,-0.049999999999998934,,0.16,0.0,1.0899999999999999,3.8900000000000006,3.47
2010-08-17,,,0.0,0.0,0.04999999999999982,0.0,-0.010000000000000009,0.0,0.04999999999999982,0.010000000000000009,-0.040000000000000924,,0.16,0.0,1.1399999999999997,3.8499999999999996,3.51
2010-08-18,,,-0.010000000000000009,0.0,-0.04999999999999982,-0.009999999999999787,0.0,0.0,-0.040000000000000036,-0.010000000000000009,-0.02999999999999936,,0.16,0.0,1.0899999999999999,3.8200000000000003,3.48
2010-08-19,,,0.0,0.0,-0.07000000000000028,-0.06000000000000005,-0.06000000000000005,-0.020000000000000462,-0.06999999999999984,0.0,-0.009999999999999787,,0.16,0.0,1.0199999999999996,3.8100000000000005,3.41
2010-08-20,,,0.010000000000000009,0.0,0.009999999999999787,0.010000000000000009,0.020000000000000018,0.0,0.009999999999999787,0.010000000000000009,0.03999999999999915,,0.16,0.0,1.0299999999999994,3.8499999999999996,3.41
2010-08-23,,,-0.010000000000000009,0.0,0.020000000000000462,-0.020000000000000018,-0.030000000000000027,0.0,-0.020000000000000018,-0.010000000000000009,-0.009999999999999787,,0.16,0.0,1.0499999999999998,3.84,3.4
2010-08-24,,,0.0,0.0,-0.08999999999999986,-0.06000000000000005,-0.020000000000000018,0.0,-0.08000000000000007,0.020000000000000018,0.02999999999999936,,0.16,0.0,0.96,3.869999999999999,3.3
2010-08-25,,,0.0,0.0,0.03000000000000025,0.040000000000000036,0.020000000000000018,0.0,0.020000000000000018,-0.010000000000000009,0.040000000000000924,,0.16,0.0,0.9900000000000002,3.91,3.33
2010-08-26,,,0.0,0.0,-0.03000000000000025,0.020000000000000018,0.030000000000000027,-0.05999999999999961,-0.06000000000000005,-0.010000000000000009,-0.019999999999999574,,0.16,0.0,0.96,3.8900000000000006,3.28
2010-08-27,,,0.0,0.0,0.16999999999999993,0.06000000000000005,0.030000000000000027,0.0,0.16000000000000014,0.020000000000000018,0.0,,0.16,0.0,1.13,3.8900000000000006,3.42
2010-08-30,,,0.0,0.0,-0.08999999999999986,-0.06000000000000005,-0.040000000000000036,0.0,-0.08999999999999986,-0.010000000000000009,-0.02000000000000135,,0.16,0.0,1.04,3.869999999999999,3.34
2010-08-31,,,0.01999999999999999,0.0,-0.04999999999999982,-0.030000000000000027,-0.040000000000000036,0.0,-0.08000000000000007,-0.010000000000000009,0.0600000000000005,,0.16,0.0,0.9900000000000002,3.9299999999999997,3.27
2010-09-01,,,-0.01999999999999999,0.040000000000000036,0.10999999999999943,0.040000000000000036,0.020000000000000018,0.0,0.1299999999999999,0.0,-0.05000000000000071,,0.22,0.03,1.0599999999999996,3.839999999999999,3.4
2010-09-02,,,0.0,0.0,0.0600000000000005,0.020000000000000018,-0.010000000000000009,-0.040000000000000036,0.07000000000000028,0.0,-0.049999999999998934,,0.22,0.03,1.12,3.79,3.47
2010-09-03,,,0.0,0.0,0.040000000000000036,0.040000000000000036,0.050000000000000044,0.0,0.06999999999999984,0.0,-0.030000000000001137,,0.22,0.03,1.1600000000000001,3.759999999999999,3.54
2010-09-06,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,,0.22,0.03,1.1600000000000001,3.749999999999999,3.54
2010-09-07,,,0.010000000000000009,0.0,-0.1200000000000001,0.009999999999999787,-0.010000000000000009,0.0,-0.1200000000000001,0.0,-0.019999999999999574,,0.22,0.03,1.04,3.7299999999999995,3.42
2010-09-08,,,-0.010000000000000009,0.0,0.040000000000000036,0.010000000000000009,-0.010000000000000009,0.0,0.050000000000000266,-0.010000000000000009,-0.03999999999999915,,0.22,0.03,1.08,3.6900000000000004,3.4800000000000004
2010-09-09,,,-0.010000000000000009,0.0,0.1200000000000001,0.08000000000000007,0.06000000000000005,0.02999999999999936,0.11999999999999966,0.020000000000000018,-0.030000000000001137,,0.22,0.03,1.2000000000000002,3.6599999999999993,3.58
2010-09-10,,,0.0,0.0,0.019999999999999574,0.07000000000000006,0.050000000000000044,0.0,0.040000000000000036,0.010000000000000009,-0.07000000000000028,,0.22,0.03,1.2199999999999998,3.589999999999999,3.61
2010-09-13,,,0.0,0.0,-0.040000000000000036,0.010000000000000009,0.0,0.0,-0.04999999999999982,-0.010000000000000009,-0.08000000000000007,,0.22,0.03,1.1799999999999997,3.509999999999999,3.5700000000000003
2010-09-14,,,0.010000000000000009,0.0,-0.05999999999999961,-0.050000000000000044,-0.06000000000000005,0.0,-0.040000000000000036,0.0,-0.05999999999999872,,0.22,0.03,1.12,3.45,3.5300000000000002
2010-09-15,,,0.01999999999999999,0.0,0.08999999999999986,0.020000000000000018,0.010000000000000009,0.0,0.08000000000000007,0.0,-0.03000000000000025,,0.22,0.03,1.21,3.42,3.6100000000000003
2010-09-16,,,0.0,0.0,0.04999999999999982,0.0,0.0,0.020000000000000462,0.04999999999999982,-0.010000000000000009,-0.040000000000000036,,0.22,0.03,1.2599999999999998,3.38,3.67
2010-09-17,,,0.0,0.0,-0.009999999999999787,-0.020000000000000018,-0.040000000000000036,0.0,-0.020000000000000018,0.010000000000000009,-0.020000000000000462,,0.22,0.03,1.25,3.3599999999999994,3.6399999999999997
2010-09-20,,,0.0,0.0,-0.040000000000000036,0.030000000000000027,-0.010000000000000009,0.0,-0.029999999999999805,0.0,-0.019999999999999574,,0.22,0.03,1.21,3.34,3.6100000000000003
