,EFFR,FEDFUNDS,CSUSHPINSA,T10YIEM,T5YIEM,PSAVERT,CIVPART,TB3MS,REAINTRATREARAT10Y,MORTGAGE30US,IPUTIL,GASREGW,T10Y3MM,UNRATE,H8B1058NCBCMG,RECPROUSM156N,SAHMREALTIME,CSUSHPINSA,INDPRO,HOUST,TOTALSA,MSACSR,DSPIC96,RSXFS,PMSAVE
2013-08-30,-0.01999999999999999,-0.009999999999999995,1.1080000000000325,0.06999999999999984,0.0,0.10000000000000053,0.0,0.0,-0.07131234999999997,0.20000000000000018,-0.0024520228936294464,-0.02578167855183755,2.7,7.2,5.2,0.0,-0.1,0.0069998546961571595,0.005863990991227697,0.0420454545454545,-0.012109106797328573,0.0,0.0023480640616651005,-0.002618004474992275,0.020089001907183768
2013-09-30,-0.010000000000000009,0.0,0.2779999999999916,-0.040000000000000036,-0.08000000000000007,0.09999999999999964,-0.09999999999999432,-0.02,0.06576582000000003,-0.1899999999999995,0.012698406267977136,-0.03575450450450457,2.79,7.2,8.1,0.02,-0.13,0.0017440729750246575,0.005358476231057674,-0.0730643402399127,0.00189549504012132,-0.018181818181818077,0.004192381013926161,0.00032777371792125365,0.020815156425277426
2013-10-31,0.010000000000000009,0.009999999999999995,-0.117999999999995,0.040000000000000036,0.010000000000000009,-0.5,-0.4000000000000057,0.030000000000000002,-0.047865090000000055,-0.22000000000000064,0.014938404209995815,-0.03824817518248169,2.57,7.2,11.1,0.1,-0.03,-0.0007390010959761328,-0.0011875356735516762,0.08823529411764697,-0.008198272056504918,-0.09259259259259256,-0.0029280456903832963,0.002538071065989911,-0.0815628815628815
2013-11-29,0.0,-0.009999999999999995,-0.19400000000001683,-0.020000000000000018,-0.030000000000000027,-0.20000000000000018,0.20000000000000284,0.020000000000000004,-0.0033316800000000035,0.1900000000000004,0.011617560548774497,-0.00030358227079529954,2.65,6.9,4.7,0.0,-0.1,-0.0012158664301786803,0.002459960588589105,0.18918918918918926,0.022381891015451183,0.020408163265306145,0.002509055997934606,0.001114459848637006,-0.01861207125764419
2013-12-31,0.0,0.009999999999999995,-0.08299999999999841,-0.009999999999999787,-0.08000000000000007,0.20000000000000018,-0.10000000000000142,0.0,-0.07133781,0.1900000000000004,0.025441418695872686,0.01153962951715748,2.83,6.7,9.7,0.12,-0.17,-0.000520823528673553,0.0021124911521961387,-0.08909090909090911,-0.015175073076683865,0.040000000000000036,0.00213259081617867,0.007688170172682751,0.03413709021945266
2014-01-31,0.0,-0.01999999999999999,0.08899999999999864,0.06999999999999984,0.07000000000000006,0.7000000000000002,0.0,-0.030000000000000006,0.26233678000000005,-0.16000000000000014,0.008753248628357024,-0.010807565295707033,2.82,6.6,7.5,0.2,-0.2,0.0005587644399798197,-0.0037727503220337244,-0.11377245508982037,-0.013956425639406356,-0.019230769230769384,0.004866414512515238,-0.0091910007329431,0.12234739324076505
2014-02-28,-0.010000000000000009,0.0,0.5030000000000143,-0.06999999999999984,0.040000000000000036,-0.10000000000000053,0.0,0.010000000000000002,-0.17195939999999998,0.04999999999999982,-0.008983329990480016,0.04522003034901356,2.66,6.7,7.5,0.0,-0.1,0.0031561972529163818,0.007593075930759419,0.06306306306306309,0.02427308825413088,0.03921568627450989,0.005290371045207909,0.014001495565567623,-0.0014005602240895199
2014-03-31,0.0,0.009999999999999995,1.3169999999999789,0.0,0.0,0.10000000000000053,0.20000000000000284,0.0,0.07177586999999996,0.03000000000000025,-0.004163709216886247,0.03919860627177707,2.67,6.7,6.5,0.0,0.0,0.008237840272217634,0.01010735592005818,0.02754237288135597,0.062027136872381705,0.05660377358490565,0.005493064112246149,0.010242462208618575,0.015544647031322967
2014-04-30,0.03,0.009999999999999995,1.781000000000006,0.009999999999999787,0.030000000000000027,0.20000000000000018,-0.30000000000000426,-0.020000000000000004,0.12176891999999995,-0.07000000000000028,-0.028091351039316148,0.037440625873149,2.68,6.2,10.5,0.12,-0.1,0.011049141070420543,0.0006465133964845826,0.07525773195876284,-0.017073888725345876,0.017857142857143016,0.00398463071011812,0.011007268407805304,0.037518701806882326
2014-05-30,-0.009999999999999995,0.0,1.7150000000000034,0.020000000000000018,0.11999999999999988,0.1999999999999993,0.10000000000000142,0.0,-0.07536794999999996,-0.20999999999999996,-0.0021500013744299995,-0.010503635873956418,2.53,6.3,6.8,0.02,-0.13,0.010523409216420143,0.004093575864692944,-0.034515819750719046,0.026474992512728335,-0.08771929824561409,0.0036223324671234014,0.0007970828836803001,0.03161397670549082
2014-06-30,0.009999999999999995,0.010000000000000009,1.5300000000000011,0.040000000000000036,0.040000000000000036,0.0,-0.10000000000000142,0.010000000000000002,-0.0023247100000000076,0.019999999999999574,-0.016999962613659436,0.00816548720740351,2.56,6.1,3.2,0.04,-0.2,0.009290463612350752,0.0033170544712759487,-0.09533267130089373,0.022115889595611726,0.09615384615384626,0.004095723813260177,0.002640173563613679,0.010752688172043001
2014-07-31,-0.009999999999999995,-0.010000000000000009,0.9240000000000066,0.029999999999999805,0.0,0.10000000000000053,0.10000000000000142,-0.010000000000000002,-0.03353448999999997,-0.019999999999999574,-0.022059081105155864,-0.044546436285097246,2.51,6.2,5.9,0.02,-0.03,0.005559065066329749,0.0021218613119475815,0.19099890230515926,-0.01364466773235884,0.08771929824561409,0.002961585346794582,0.0006189746684617248,0.014468085106382977
